support,itemsets,new_sets
0.013523518088939342,frozenset({'AP-11016'}),['AP-11016']
0.009723113370514782,frozenset({'AP-12510'}),['AP-12510']
0.016534228320418537,frozenset({'AP-13144'}),['AP-13144']
0.005774640935787967,frozenset({'AR-10640'}),['AR-10640']
0.005823996841222053,frozenset({'AR-11047'}),['AR-11047']
0.013474162183505256,frozenset({'AR-11048'}),['AR-11048']
0.0216672424855634,frozenset({'AR-11052'}),['AR-11052']
0.011450570060707764,frozenset({'AR-11053'}),['AR-11053']
0.0064656236118651594,frozenset({'AR-11054'}),['AR-11054']
0.010858299195498742,frozenset({'AR-11064'}),['AR-11064']
0.010019248803119293,frozenset({'AR-11067'}),['AR-11067']
0.007650165342283204,frozenset({'AR-12171'}),['AR-12171']
0.00513301416514486,frozenset({'AR-12172'}),['AR-12172']
0.005083658259710774,frozenset({'AR-12511'}),['AR-12511']
0.012141552736784956,frozenset({'AR-12825'}),['AR-12825']
0.017669414145402497,frozenset({'AR-12826'}),['AR-12826']
0.01549775430630275,frozenset({'BK-10005'}),['BK-10005']
0.01875524406495237,frozenset({'BK-10006'}),['BK-10006']
0.013967721237846108,frozenset({'BK-10007'}),['BK-10007']
0.0053304377868812,frozenset({'BK-10010'}),['BK-10010']
0.019446226741029565,frozenset({'BK-10821'}),['BK-10821']
0.0563150881002912,frozenset({'BK-10834'}),['BK-10834']
0.011351858249839593,frozenset({'BK-10835'}),['BK-10835']
0.005675929124919796,frozenset({'BK-10836'}),['BK-10836']
0.024085681851833574,frozenset({'BK-10837'}),['BK-10837']
0.007502097625980949,frozenset({'BK-10840'}),['BK-10840']
0.008390503923794482,frozenset({'BK-10842'}),['BK-10842']
0.016781007847588965,frozenset({'BK-10844'}),['BK-10844']
0.022210157445338333,frozenset({'BK-10850'}),['BK-10850']
0.01056216376289423,frozenset({'BK-10928'}),['BK-10928']
0.0055772173140516265,frozenset({'BK-10930'}),['BK-10930']
0.02462859681160851,frozenset({'BK-10939'}),['BK-10939']
0.018113617294309263,frozenset({'BK-10940'}),['BK-10940']
0.005083658259710774,frozenset({'BK-10941'}),['BK-10941']
0.012585755885691724,frozenset({'BK-10942'}),['BK-10942']
0.01786683776713884,frozenset({'BK-10943'}),['BK-10943']
0.005182370070578945,frozenset({'BK-10944'}),['BK-10944']
0.012289620453087211,frozenset({'BK-10951'}),['BK-10951']
0.014856127535659642,frozenset({'BK-10960'}),['BK-10960']
0.009180198410739845,frozenset({'BK-10977'}),['BK-10977']
0.006613691328167416,frozenset({'BK-10979'}),['BK-10979']
0.010117960613987464,frozenset({'BK-10982'}),['BK-10982']
0.006613691328167416,frozenset({'BK-10983'}),['BK-10983']
0.011351858249839593,frozenset({'BK-10984'}),['BK-10984']
0.006909826760771926,frozenset({'BK-10985'}),['BK-10985']
0.005873352746656137,frozenset({'BK-10986'}),['BK-10986']
0.00789694486945363,frozenset({'BK-10987'}),['BK-10987']
0.007699521247717289,frozenset({'BK-10989'}),['BK-10989']
0.005379793692315286,frozenset({'BK-10990'}),['BK-10990']
0.008439859829228567,frozenset({'BK-10991'}),['BK-10991']
0.006070776368392478,frozenset({'BK-11004'}),['BK-11004']
0.0064656236118651594,frozenset({'BK-11006'}),['BK-11006']
0.008242436207492227,frozenset({'BK-11012'}),['BK-11012']
0.007600809436849119,frozenset({'BK-11055'}),['BK-11055']
0.006120132273826563,frozenset({'BK-11060'}),['BK-11060']
0.010315384235723804,frozenset({'BK-11111'}),['BK-11111']
0.011203790533537338,frozenset({'BK-11112'}),['BK-11112']
0.00503430235427669,frozenset({'BK-11122'}),['BK-11122']
0.005379793692315286,frozenset({'BK-11157'}),['BK-11157']
0.005922708652090223,frozenset({'BK-11158'}),['BK-11158']
0.007847588964019546,frozenset({'BK-11159'}),['BK-11159']
0.007650165342283204,frozenset({'BK-11160'}),['BK-11160']
0.00503430235427669,frozenset({'BK-11161'}),['BK-11161']
0.005873352746656137,frozenset({'BK-11163'}),['BK-11163']
0.0071566062879423525,frozenset({'BK-11164'}),['BK-11164']
0.02956418735501703,frozenset({'BK-11168'}),['BK-11168']
0.018014905483441094,frozenset({'BK-11169'}),['BK-11169']
0.011105078722669167,frozenset({'BK-11171'}),['BK-11171']
0.0072553180988105224,frozenset({'BK-11176'}),['BK-11176']
0.015645822022605005,frozenset({'BK-11179'}),['BK-11179']
0.010611519668328316,frozenset({'BK-11180'}),['BK-11180']
0.006021420462958393,frozenset({'BK-11191'}),['BK-11191']
0.008341148018360396,frozenset({'BK-11192'}),['BK-11192']
0.00513301416514486,frozenset({'BK-11193'}),['BK-11193']
0.008242436207492227,frozenset({'BK-11194'}),['BK-11194']
0.020877547998618035,frozenset({'BK-11195'}),['BK-11195']
0.025467647203987958,frozenset({'BK-11196'}),['BK-11196']
0.024135037757267656,frozenset({'BK-11197'}),['BK-11197']
0.008686639356398993,frozenset({'BK-11969'}),['BK-11969']
0.016879719658457134,frozenset({'BK-11978'}),['BK-11978']
0.008242436207492227,frozenset({'BK-11979'}),['BK-11979']
0.018705888159518288,frozenset({'BK-11984'}),['BK-11984']
0.00789694486945363,frozenset({'BK-11985'}),['BK-11985']
0.010808943290064656,frozenset({'BK-11986'}),['BK-11986']
0.010414096046591974,frozenset({'BK-11987'}),['BK-11987']
0.011203790533537338,frozenset({'BK-11988'}),['BK-11988']
0.00952568974877844,frozenset({'BK-11999'}),['BK-11999']
0.005626573219485712,frozenset({'BK-12002'}),['BK-12002']
0.013967721237846108,frozenset({'BK-12003'}),['BK-12003']
0.026454765312669663,frozenset({'BK-12005'}),['BK-12005']
0.01179606139874636,frozenset({'BK-12009'}),['BK-12009']
0.006416267706431075,frozenset({'BK-12129'}),['BK-12129']
0.005083658259710774,frozenset({'BK-12130'}),['BK-12130']
0.011450570060707764,frozenset({'BK-12169'}),['BK-12169']
0.01806426138887518,frozenset({'BK-12479'}),['BK-12479']
0.005873352746656137,frozenset({'BK-12488'}),['BK-12488']
0.009772469275948867,frozenset({'BK-12490'}),['BK-12490']
0.012092196831350871,frozenset({'BK-12491'}),['BK-12491']
0.005626573219485712,frozenset({'BK-12492'}),['BK-12492']
0.007057894477074182,frozenset({'BK-12495'}),['BK-12495']
0.007403385815112779,frozenset({'BK-12502'}),['BK-12502']
0.009723113370514782,frozenset({'BK-12808'}),['BK-12808']
0.005972064557524308,frozenset({'BK-12809'}),['BK-12809']
0.009081486599871675,frozenset({'BK-12810'}),['BK-12810']
0.007995656680321801,frozenset({'BK-12822'}),['BK-12822']
0.006811114949903756,frozenset({'BK-12827'}),['BK-12827']
0.00893341888356942,frozenset({'BK-13017'}),['BK-13017']
0.015102907062830068,frozenset({'BK-13099'}),['BK-13099']
0.01549775430630275,frozenset({'BK-13100'}),['BK-13100']
0.00513301416514486,frozenset({'BK-13101'}),['BK-13101']
0.006860470855337841,frozenset({'BK-13189'}),['BK-13189']
0.008834707072701248,frozenset({'BK-13193'}),['BK-13193']
0.005873352746656137,frozenset({'BK-13194'}),['BK-13194']
0.00513301416514486,frozenset({'BK-13385'}),['BK-13385']
0.007403385815112779,frozenset({'BK-13388'}),['BK-13388']
0.007600809436849119,frozenset({'BK-13564'}),['BK-13564']
0.010858299195498742,frozenset({'BK-13627'}),['BK-13627']
0.03415428656038695,frozenset({'BK-13629'}),['BK-13629']
0.007551453531415034,frozenset({'CA-12176'}),['CA-12176']
0.033413947978875674,frozenset({'FR-10956'}),['FR-10956']
0.023641478702926804,frozenset({'FR-12506'}),['FR-12506']
0.09185134001283253,frozenset({'FR-12819'}),['FR-12819']
0.40881496471052764,frozenset({'FR-12820'}),['FR-12820']
0.009673757465080698,frozenset({'FR-12951'}),['FR-12951']
0.13044765806228714,frozenset({'FR-13190'}),['FR-13190']
0.0093282661270421,frozenset({'GA-10169'}),['GA-10169']
0.006120132273826563,frozenset({'GA-11190'}),['GA-11190']
0.006860470855337841,frozenset({'GA-11982'}),['GA-11982']
0.018804599970386457,frozenset({'GA-11989'}),['GA-11989']
0.00503430235427669,frozenset({'GA-11998'}),['GA-11998']
0.00503430235427669,frozenset({'GA-12001'}),['GA-12001']
0.01609002517151177,frozenset({'GA-12004'}),['GA-12004']
0.00656433542273333,frozenset({'GA-12010'}),['GA-12010']
0.007551453531415034,frozenset({'GA-12124'}),['GA-12124']
0.01036474014115789,frozenset({'GA-12170'}),['GA-12170']
0.012240264547653127,frozenset({'GA-12508'}),['GA-12508']
0.005823996841222053,frozenset({'GA-12509'}),['GA-12509']
0.02452988500074034,frozenset({'GA-12803'}),['GA-12803']
0.016188736982379943,frozenset({'GA-12804'}),['GA-12804']
0.006909826760771926,frozenset({'GA-12811'}),['GA-12811']
0.012092196831350871,frozenset({'GA-12816'}),['GA-12816']
0.025072799960515275,frozenset({'GA-12830'}),['GA-12830']
0.00779823305858546,frozenset({'GA-13110'}),['GA-13110']
0.005873352746656137,frozenset({'GA-13259'}),['GA-13259']
0.01026602833028972,frozenset({'GA-13534'}),['GA-13534']
0.006416267706431075,frozenset({'OC-11070'}),['OC-11070']
0.006712403139035586,frozenset({'OC-11071'}),['OC-11071']
0.006909826760771926,frozenset({'OC-11072'}),['OC-11072']
0.005972064557524308,frozenset({'OC-11074'}),['OC-11074']
0.006909826760771926,frozenset({'OC-11075'}),['OC-11075']
0.006070776368392478,frozenset({'OC-11088'}),['OC-11088']
0.02285178421598144,frozenset({'OC-11089'}),['OC-11089']
0.006811114949903756,frozenset({'OC-11092'}),['OC-11092']
0.023345343270322293,frozenset({'OC-11093'}),['OC-11093']
0.006860470855337841,frozenset({'OC-11095'}),['OC-11095']
0.010167316519421548,frozenset({'OC-11097'}),['OC-11097']
0.016484872414984454,frozenset({'OC-11105'}),['OC-11105']
0.012289620453087211,frozenset({'OC-11107'}),['OC-11107']
0.005972064557524308,frozenset({'OC-12137'}),['OC-12137']
0.053699225112284685,frozenset({'OC-12139'}),['OC-12139']
0.02309856374315187,frozenset({'OC-12174'}),['OC-12174']
0.01549775430630275,frozenset({'OC-12849'}),['OC-12849']
0.027096392083312767,frozenset({'OC-12851'}),['OC-12851']
0.008587927545530822,frozenset({'OC-13167'}),['OC-13167']
0.007057894477074182,frozenset({'OC-13254'}),['OC-13254']
0.009278910221608016,frozenset({'OT-10992'}),['OT-10992']
0.0053304377868812,frozenset({'OT-11109'}),['OT-11109']
0.01969300626819999,frozenset({'OT-12823'}),['OT-12823']
0.01006860470855338,frozenset({'OT-12824'}),['OT-12824']
0.008785351167267164,frozenset({'OT-12828'}),['OT-12828']
0.0071566062879423525,"frozenset({'AP-12510', 'FR-12820'})","['AP-12510', 'FR-12820']"
0.016238092887814026,"frozenset({'AP-13144', 'FR-12820'})","['AP-13144', 'FR-12820']"
0.016139381076945857,"frozenset({'FR-13190', 'AP-13144'})","['FR-13190', 'AP-13144']"
0.007699521247717289,"frozenset({'AR-11048', 'BK-11196'})","['AR-11048', 'BK-11196']"
0.013622229899807513,"frozenset({'AR-11052', 'BK-11196'})","['AR-11052', 'BK-11196']"
0.014559992103055131,"frozenset({'AR-11052', 'BK-11197'})","['AR-11052', 'BK-11197']"
0.009278910221608016,"frozenset({'AR-11064', 'AR-11067'})","['AR-11064', 'AR-11067']"
0.00513301416514486,"frozenset({'AR-11064', 'OC-11092'})","['AR-11064', 'OC-11092']"
0.00513301416514486,"frozenset({'OC-11092', 'AR-11067'})","['OC-11092', 'AR-11067']"
0.008982774789003504,"frozenset({'AR-12825', 'FR-12820'})","['AR-12825', 'FR-12820']"
0.013572873994373427,"frozenset({'AR-12826', 'FR-12820'})","['AR-12826', 'FR-12820']"
0.005478505503183456,"frozenset({'FR-13190', 'AR-12826'})","['FR-13190', 'AR-12826']"
0.005873352746656137,"frozenset({'BK-10006', 'BK-10837'})","['BK-10006', 'BK-10837']"
0.005873352746656137,"frozenset({'BK-10006', 'BK-11179'})","['BK-10006', 'BK-11179']"
0.0053304377868812,"frozenset({'BK-10007', 'BK-10821'})","['BK-10007', 'BK-10821']"
0.006416267706431075,"frozenset({'BK-10834', 'BK-10007'})","['BK-10834', 'BK-10007']"
0.005922708652090223,"frozenset({'BK-11168', 'BK-10007'})","['BK-11168', 'BK-10007']"
0.0119934850204827,"frozenset({'BK-10834', 'BK-10821'})","['BK-10834', 'BK-10821']"
0.0072553180988105224,"frozenset({'BK-11168', 'BK-10821'})","['BK-11168', 'BK-10821']"
0.005379793692315286,"frozenset({'BK-10834', 'BK-10951'})","['BK-10834', 'BK-10951']"
0.011499925966141848,"frozenset({'BK-10834', 'BK-11168'})","['BK-10834', 'BK-11168']"
0.007502097625980949,"frozenset({'BK-10834', 'FR-12820'})","['BK-10834', 'FR-12820']"
0.005182370070578945,"frozenset({'BK-11179', 'BK-10837'})","['BK-11179', 'BK-10837']"
0.005379793692315286,"frozenset({'BK-10850', 'FR-12820'})","['BK-10850', 'FR-12820']"
0.005379793692315286,"frozenset({'BK-10939', 'BK-10928'})","['BK-10939', 'BK-10928']"
0.007008538571640097,"frozenset({'BK-10940', 'BK-10928'})","['BK-10940', 'BK-10928']"
0.007057894477074182,"frozenset({'BK-10943', 'BK-10928'})","['BK-10943', 'BK-10928']"
0.009575045654212527,"frozenset({'BK-10939', 'BK-10940'})","['BK-10939', 'BK-10940']"
0.006268199990128819,"frozenset({'BK-10939', 'BK-10942'})","['BK-10939', 'BK-10942']"
0.0106608755737624,"frozenset({'BK-10939', 'BK-10943'})","['BK-10939', 'BK-10943']"
0.012338976358521297,"frozenset({'BK-10940', 'BK-10943'})","['BK-10940', 'BK-10943']"
0.01816297319974335,"frozenset({'BK-11197', 'BK-11196'})","['BK-11197', 'BK-11196']"
0.005972064557524308,"frozenset({'BK-11978', 'FR-12820'})","['BK-11978', 'FR-12820']"
0.005725285030353882,"frozenset({'BK-11985', 'BK-11987'})","['BK-11985', 'BK-11987']"
0.005281081881447115,"frozenset({'BK-11985', 'BK-11988'})","['BK-11985', 'BK-11988']"
0.007748877153151375,"frozenset({'BK-11988', 'BK-11987'})","['BK-11988', 'BK-11987']"
0.006613691328167416,"frozenset({'BK-12003', 'FR-12820'})","['BK-12003', 'FR-12820']"
0.014017077143280194,"frozenset({'FR-12820', 'BK-12005'})","['FR-12820', 'BK-12005']"
0.006268199990128819,"frozenset({'FR-13190', 'BK-12005'})","['FR-13190', 'BK-12005']"
0.006021420462958393,"frozenset({'FR-12820', 'BK-12009'})","['FR-12820', 'BK-12009']"
0.011598637777010019,"frozenset({'FR-12820', 'BK-12479'})","['FR-12820', 'BK-12479']"
0.006021420462958393,"frozenset({'BK-12490', 'FR-12820'})","['BK-12490', 'FR-12820']"
0.0072553180988105224,"frozenset({'BK-12491', 'FR-12820'})","['BK-12491', 'FR-12820']"
0.0066630472336015,"frozenset({'BK-12810', 'BK-13017'})","['BK-12810', 'BK-13017']"
0.0063669118009969895,"frozenset({'BK-12810', 'FR-12820'})","['BK-12810', 'FR-12820']"
0.005478505503183456,"frozenset({'FR-12820', 'BK-12822'})","['FR-12820', 'BK-12822']"
0.0066630472336015,"frozenset({'BK-13017', 'FR-12820'})","['BK-13017', 'FR-12820']"
0.006416267706431075,"frozenset({'BK-13099', 'FR-12820'})","['BK-13099', 'FR-12820']"
0.006761759044469671,"frozenset({'BK-13629', 'BK-13627'})","['BK-13629', 'BK-13627']"
0.0064656236118651594,"frozenset({'CA-12176', 'FR-12820'})","['CA-12176', 'FR-12820']"
0.013227382656334831,"frozenset({'FR-12820', 'FR-10956'})","['FR-12820', 'FR-10956']"
0.016139381076945857,"frozenset({'OC-12139', 'FR-10956'})","['OC-12139', 'FR-10956']"
0.022753072405113272,"frozenset({'FR-12506', 'FR-12820'})","['FR-12506', 'FR-12820']"
0.02018656532254084,"frozenset({'FR-12506', 'GA-12830'})","['FR-12506', 'GA-12830']"
0.09042001875524407,"frozenset({'FR-12819', 'FR-12820'})","['FR-12819', 'FR-12820']"
0.012536399980257637,"frozenset({'FR-12819', 'OC-12139'})","['FR-12819', 'OC-12139']"
0.006811114949903756,"frozenset({'FR-12819', 'OC-12851'})","['FR-12819', 'OC-12851']"
0.009575045654212527,"frozenset({'FR-12951', 'FR-12820'})","['FR-12951', 'FR-12820']"
0.12620305019495584,"frozenset({'FR-13190', 'FR-12820'})","['FR-13190', 'FR-12820']"
0.016040669266077685,"frozenset({'GA-11989', 'FR-12820'})","['GA-11989', 'FR-12820']"
0.006514979517299245,"frozenset({'GA-12170', 'FR-12820'})","['GA-12170', 'FR-12820']"
0.00952568974877844,"frozenset({'FR-12820', 'GA-12508'})","['FR-12820', 'GA-12508']"
0.013967721237846108,"frozenset({'GA-12803', 'FR-12820'})","['GA-12803', 'FR-12820']"
0.011647993682444105,"frozenset({'GA-12804', 'FR-12820'})","['GA-12804', 'FR-12820']"
0.005379793692315286,"frozenset({'GA-12811', 'FR-12820'})","['GA-12811', 'FR-12820']"
0.007600809436849119,"frozenset({'GA-12816', 'FR-12820'})","['GA-12816', 'FR-12820']"
0.021173683431222546,"frozenset({'GA-12830', 'FR-12820'})","['GA-12830', 'FR-12820']"
0.010907655100932827,"frozenset({'FR-12820', 'OC-11089'})","['FR-12820', 'OC-11089']"
0.010216672424855635,"frozenset({'OC-11093', 'FR-12820'})","['OC-11093', 'FR-12820']"
0.0072553180988105224,"frozenset({'FR-12820', 'OC-11107'})","['FR-12820', 'OC-11107']"
0.03296974482996891,"frozenset({'OC-12139', 'FR-12820'})","['OC-12139', 'FR-12820']"
0.01446128029218696,"frozenset({'OC-12174', 'FR-12820'})","['OC-12174', 'FR-12820']"
0.010315384235723804,"frozenset({'OC-12849', 'FR-12820'})","['OC-12849', 'FR-12820']"
0.021519174769261143,"frozenset({'OC-12851', 'FR-12820'})","['OC-12851', 'FR-12820']"
0.006021420462958393,"frozenset({'OC-13167', 'FR-12820'})","['OC-13167', 'FR-12820']"
0.015300330684566408,"frozenset({'OT-12823', 'FR-12820'})","['OT-12823', 'FR-12820']"
0.006514979517299245,"frozenset({'OT-12824', 'FR-12820'})","['OT-12824', 'FR-12820']"
0.009673757465080698,"frozenset({'OT-12823', 'FR-12951'})","['OT-12823', 'FR-12951']"
0.005972064557524308,"frozenset({'FR-13190', 'OC-11089'})","['FR-13190', 'OC-11089']"
0.007452741720546863,"frozenset({'FR-13190', 'OC-11093'})","['FR-13190', 'OC-11093']"
0.007699521247717289,"frozenset({'FR-13190', 'OC-12851'})","['FR-13190', 'OC-12851']"
0.005527861408617541,"frozenset({'OC-13167', 'FR-13190'})","['OC-13167', 'FR-13190']"
0.006120132273826563,"frozenset({'GA-12803', 'GA-11989'})","['GA-12803', 'GA-11989']"
0.0063669118009969895,"frozenset({'GA-12804', 'GA-11989'})","['GA-12804', 'GA-11989']"
0.0063669118009969895,"frozenset({'GA-12804', 'GA-12803'})","['GA-12804', 'GA-12803']"
0.006909826760771926,"frozenset({'OC-12174', 'OC-12139'})","['OC-12174', 'OC-12139']"
0.016139381076945857,"frozenset({'FR-13190', 'AP-13144', 'FR-12820'})","['FR-13190', 'AP-13144', 'FR-12820']"
0.013572873994373427,"frozenset({'BK-11197', 'AR-11052', 'BK-11196'})","['BK-11197', 'AR-11052', 'BK-11196']"
0.0053304377868812,"frozenset({'FR-13190', 'AR-12826', 'FR-12820'})","['FR-13190', 'AR-12826', 'FR-12820']"
0.005675929124919796,"frozenset({'BK-10940', 'BK-10943', 'BK-10928'})","['BK-10940', 'BK-10943', 'BK-10928']"
0.00819308030205814,"frozenset({'BK-10939', 'BK-10943', 'BK-10940'})","['BK-10939', 'BK-10943', 'BK-10940']"
0.006218844084694734,"frozenset({'FR-13190', 'FR-12820', 'BK-12005'})","['FR-13190', 'FR-12820', 'BK-12005']"
0.019347514930161396,"frozenset({'GA-12830', 'FR-12506', 'FR-12820'})","['GA-12830', 'FR-12506', 'FR-12820']"
0.012487044074823553,"frozenset({'FR-12819', 'OC-12139', 'FR-12820'})","['FR-12819', 'OC-12139', 'FR-12820']"
0.006761759044469671,"frozenset({'OC-12851', 'FR-12819', 'FR-12820'})","['OC-12851', 'FR-12819', 'FR-12820']"
0.009575045654212527,"frozenset({'OT-12823', 'FR-12951', 'FR-12820'})","['OT-12823', 'FR-12951', 'FR-12820']"
0.005873352746656137,"frozenset({'FR-13190', 'FR-12820', 'OC-11089'})","['FR-13190', 'FR-12820', 'OC-11089']"
0.006909826760771926,"frozenset({'FR-13190', 'OC-11093', 'FR-12820'})","['FR-13190', 'OC-11093', 'FR-12820']"
0.007600809436849119,"frozenset({'FR-13190', 'FR-12820', 'OC-12851'})","['FR-13190', 'FR-12820', 'OC-12851']"
0.005281081881447115,"frozenset({'OC-13167', 'FR-13190', 'FR-12820'})","['OC-13167', 'FR-13190', 'FR-12820']"
0.00523172597601303,"frozenset({'GA-11989', 'GA-12803', 'FR-12820'})","['GA-11989', 'GA-12803', 'FR-12820']"
0.005626573219485712,"frozenset({'GA-12804', 'GA-11989', 'FR-12820'})","['GA-12804', 'GA-11989', 'FR-12820']"
