polar,channel,orderyear,totalprice
N,AD,2010,39.75275000000001
N,AD,2011,42.58547619047619
N,AD,2012,54.11756410256412
N,AD,2013,121.22464285714283
N,AD,2014,65.70604166666668
N,AD,2015,94.09200320512818
N,AD,2016,143.2373039215686
N,CATALOG,2014,95.29
N,EMAIL,2014,51.95
N,EMPLOYEE,2011,16.63
N,EMPLOYEE,2014,12.475
N,EMPLOYEE,2015,24.44
N,INSERT,2011,42.27458333333333
N,INSERT,2013,16.92759803921568
N,INSERT,2014,26.133904761904763
N,INSERT,2015,79.95
N,INTERNAL,2015,36.94
N,MAIL,2014,30.305
N,MAIL,2015,26.626250000000002
N,MAIL,2016,12.55
N,PARTNER,2010,85.82194534632035
N,PARTNER,2011,35.10145230746619
N,PARTNER,2012,55.31111805555554
N,PARTNER,2013,116.72498148148148
N,PARTNER,2014,77.34086264925553
N,PARTNER,2015,79.76051400560225
N,PARTNER,2016,167.40160714285713
N,REFERRAL,2010,21.09
N,REFERRAL,2011,25.0
N,REFERRAL,2013,29.95
N,REFERRAL,2014,90.96666666666665
N,REFERRAL,2015,58.974999999999994
N,REFERRAL,2016,116.38000000000002
N,WEB,2010,44.519999999999996
N,WEB,2011,63.109705882352955
N,WEB,2012,57.42171717171717
N,WEB,2013,52.508150858983505
N,WEB,2014,64.96447073791344
N,WEB,2015,77.57399382716046
N,WEB,2016,93.55604063018238
NNE,AD,2010,39.68023015873016
NNE,AD,2011,36.248545197740135
NNE,AD,2012,52.82254545454544
NNE,AD,2013,75.83227272727271
NNE,AD,2014,70.8384738095238
NNE,AD,2015,48.542624113475185
NNE,AD,2016,107.72249999999995
NNE,BULK,2010,0.0
NNE,CATALOG,2014,27.187500000000004
NNE,EMAIL,2014,28.475
NNE,EMPLOYEE,2014,29.71
NNE,EMPLOYEE,2015,23.7
NNE,INSERT,2011,29.336666666666662
NNE,INSERT,2013,20.87666666666667
NNE,INSERT,2014,21.324772727272723
NNE,INSERT,2015,108.78
NNE,MAIL,2014,29.057142857142853
NNE,MAIL,2015,65.87133333333334
NNE,MAIL,2016,13.675
NNE,PARTNER,2010,88.99275590828923
NNE,PARTNER,2011,48.14878741496598
NNE,PARTNER,2012,57.36910819949279
NNE,PARTNER,2013,78.48822756410256
NNE,PARTNER,2014,81.20129179894178
NNE,PARTNER,2015,65.89943042793593
NNE,PARTNER,2016,144.33012962962962
NNE,REFERRAL,2010,68.67
NNE,REFERRAL,2011,17.0
NNE,REFERRAL,2013,112.475
NNE,REFERRAL,2014,44.95555555555555
NNE,REFERRAL,2015,76.10000000000001
NNE,REFERRAL,2016,13.87
NNE,WEB,2010,10.95
NNE,WEB,2011,44.16609375000001
NNE,WEB,2012,64.16578231292519
NNE,WEB,2013,44.73787884160753
NNE,WEB,2014,66.34357607293377
NNE,WEB,2015,68.26582200647242
NNE,WEB,2016,210.6250241228071
NE,AD,2010,46.141755315762744
NE,AD,2011,42.22319990892537
NE,AD,2012,56.188702718676204
NE,AD,2013,71.1587386091128
NE,AD,2014,55.24023058746121
NE,AD,2015,61.019875583566886
NE,AD,2016,89.08288922155698
NE,BULK,2010,10.0
NE,BULK,2011,2.5
NE,BULK,2012,0.0
NE,CATALOG,2014,68.26811111111111
NE,CATALOG,2015,133.17
NE,CATALOG,2016,11.983333333333334
NE,CONFERENCE,2013,100.0
NE,EMAIL,2014,23.847142857142853
NE,EMAIL,2015,156.86666666666667
NE,EMPLOYEE,2010,165.75
NE,EMPLOYEE,2011,16.63
NE,EMPLOYEE,2012,85.215
NE,EMPLOYEE,2013,93.51625000000001
NE,EMPLOYEE,2014,75.86
NE,EMPLOYEE,2015,29.5425
NE,EMPLOYEE,2016,248.785
NE,INSERT,2011,30.07318089430895
NE,INSERT,2012,23.459999999999997
NE,INSERT,2013,18.22905717761556
NE,INSERT,2014,27.63865384615381
NE,MAIL,2010,223.39
NE,MAIL,2011,0.0
NE,MAIL,2014,34.28935483870968
NE,MAIL,2015,68.50310714285712
NE,MAIL,2016,13.48673469387755
NE,PARTNER,2010,61.79575179807071
NE,PARTNER,2011,44.51907016633596
NE,PARTNER,2012,67.17576851321276
NE,PARTNER,2013,74.1351961104453
NE,PARTNER,2014,63.661935219956334
NE,PARTNER,2015,68.06615405267081
NE,PARTNER,2016,131.05670431505936
NE,REFERRAL,2010,39.41046875
NE,REFERRAL,2011,22.83235294117647
NE,REFERRAL,2012,36.74888888888889
NE,REFERRAL,2013,25.185
NE,REFERRAL,2014,142.1134615384615
NE,REFERRAL,2015,51.135151515151485
NE,REFERRAL,2016,234.9446969696969
NE,WEB,2010,28.90307692307692
NE,WEB,2011,76.79654991645783
NE,WEB,2012,62.88469662854508
NE,WEB,2013,60.983938380132265
NE,WEB,2014,62.25888349420128
NE,WEB,2015,76.86819688365577
NE,WEB,2016,89.05652901536631
ENE,AD,2010,36.32479855686938
ENE,AD,2011,41.4324495561027
ENE,AD,2012,54.29557949042934
ENE,AD,2013,71.42967108856915
ENE,AD,2014,69.85833908080393
ENE,AD,2015,68.67326458734293
ENE,AD,2016,80.24309521619013
ENE,BULK,2010,18.4075
ENE,BULK,2011,6.806995884773663
ENE,BULK,2012,18.62777777777778
ENE,BULK,2013,24.038439339554916
ENE,BULK,2014,428.3438548613549
ENE,BULK,2015,197.7509645050808
ENE,BULK,2016,734.9249208860759
ENE,CATALOG,2014,69.60300170068031
ENE,CATALOG,2015,94.25000000000001
ENE,CATALOG,2016,112.00416666666666
ENE,EMAIL,2014,87.16444444444443
ENE,EMAIL,2015,64.28
ENE,EMAIL,2016,65.54166666666667
ENE,EMPLOYEE,2010,55.10173611111111
ENE,EMPLOYEE,2011,77.75482334869433
ENE,EMPLOYEE,2012,64.12366
ENE,EMPLOYEE,2013,96.84137820512821
ENE,EMPLOYEE,2014,52.675137254901955
ENE,EMPLOYEE,2015,108.84021000000001
ENE,EMPLOYEE,2016,57.131870629370624
ENE,INSERT,2011,29.84239710157567
ENE,INSERT,2012,17.714000000000002
ENE,INSERT,2013,19.20839442707493
ENE,INSERT,2014,24.29150027281388
ENE,INSERT,2015,79.52550000000002
ENE,INTERNAL,2015,110.39371428571428
ENE,INTERNAL,2016,43.075
ENE,MAIL,2010,105.03320312499994
ENE,MAIL,2011,188.09714285714287
ENE,MAIL,2012,20.25
ENE,MAIL,2014,58.78108333333331
ENE,MAIL,2015,33.536859903381576
ENE,MAIL,2016,18.809198966408267
ENE,PARTNER,2010,56.74715258608778
ENE,PARTNER,2011,49.19173062886563
ENE,PARTNER,2012,63.602682928010374
ENE,PARTNER,2013,69.25531374628628
ENE,PARTNER,2014,74.188764866516
ENE,PARTNER,2015,74.4160975591923
ENE,PARTNER,2016,105.56166700565916
ENE,REFERRAL,2010,28.87647940074906
ENE,REFERRAL,2011,28.900069444444455
ENE,REFERRAL,2012,49.54440000000002
ENE,REFERRAL,2013,89.02295977011494
ENE,REFERRAL,2014,59.43880861504897
ENE,REFERRAL,2015,58.21270654396729
ENE,REFERRAL,2016,85.94022727272728
ENE,SURVEY,2016,23.96
ENE,WEB,2010,42.74792792792793
ENE,WEB,2011,67.93488474848968
ENE,WEB,2012,64.45124033434142
ENE,WEB,2013,74.7664778075139
ENE,WEB,2014,82.70733604845172
ENE,WEB,2015,101.59241060920249
ENE,WEB,2016,127.15214988972838
E,AD,2010,38.45427960526313
E,AD,2011,43.035445454545425
E,AD,2012,67.37787121212116
E,AD,2013,82.36190960451975
E,AD,2014,75.34688453815266
E,AD,2015,87.97634657836647
E,AD,2016,53.16533687943259
E,BULK,2010,0.0
E,BULK,2011,13.125
E,BULK,2014,13.0
E,BULK,2015,14.95
E,CATALOG,2014,36.529999999999994
E,CATALOG,2015,298.8
E,CATALOG,2016,98.075
E,CONFERENCE,2013,100.0
E,EMAIL,2014,31.766666666666666
E,EMAIL,2015,34.95
E,EMPLOYEE,2011,17.0
E,EMPLOYEE,2012,31.517142857142858
E,EMPLOYEE,2013,45.48666666666667
E,EMPLOYEE,2014,29.71
E,EMPLOYEE,2015,127.792
E,EMPLOYEE,2016,196.225
E,INSERT,2011,54.74808333333333
E,INSERT,2012,24.95
E,INSERT,2013,19.96995192307693
E,INSERT,2014,36.490890804597704
E,INTERNAL,2015,136.98666666666668
E,MAIL,2014,52.78611111111111
E,MAIL,2015,59.70566666666669
E,MAIL,2016,14.26818181818182
E,PARTNER,2010,82.2405120537675
E,PARTNER,2011,48.0186850084647
E,PARTNER,2012,61.4602951291133
E,PARTNER,2013,78.96379864311315
E,PARTNER,2014,55.26674321898299
E,PARTNER,2015,59.2511706462229
E,PARTNER,2016,112.42482010582013
E,REFERRAL,2010,20.275384615384613
E,REFERRAL,2011,50.84142857142857
E,REFERRAL,2012,44.11666666666667
E,REFERRAL,2013,69.25166666666667
E,REFERRAL,2014,73.90805555555556
E,REFERRAL,2015,41.03777777777779
E,REFERRAL,2016,323.1952380952381
E,WEB,2010,14.935
E,WEB,2011,50.60546925566344
E,WEB,2012,63.78514690423634
E,WEB,2013,67.34183275634693
E,WEB,2014,55.47769722490777
E,WEB,2015,89.18609948679136
E,WEB,2016,97.12705314009679
ESE,AD,2010,32.98439296636085
ESE,AD,2011,38.32496168582374
ESE,AD,2012,71.5159220907298
ESE,AD,2013,82.78198113207557
ESE,AD,2014,65.08737029831399
ESE,AD,2015,64.0301557239058
ESE,AD,2016,66.65126086956516
ESE,BULK,2010,0.0
ESE,BULK,2011,3.3333333333333335
ESE,BULK,2012,6780.0
ESE,BULK,2013,3592.0
ESE,CATALOG,2014,107.5077777777778
ESE,CATALOG,2015,254.675
ESE,EMAIL,2014,82.675
ESE,EMAIL,2015,49.94
ESE,EMAIL,2016,29.4
ESE,EMPLOYEE,2010,27.16
ESE,EMPLOYEE,2011,392.06
ESE,EMPLOYEE,2012,38.681111111111115
ESE,EMPLOYEE,2013,57.126666666666665
ESE,EMPLOYEE,2014,142.99599999999998
ESE,EMPLOYEE,2015,26.8375
ESE,INSERT,2011,46.43502887788781
ESE,INSERT,2012,25.875
ESE,INSERT,2013,19.955413385826773
ESE,INSERT,2014,22.12367866230462
ESE,INSERT,2015,106.73800000000001
ESE,MAIL,2010,101.48333333333335
ESE,MAIL,2011,156.0
ESE,MAIL,2014,45.939166666666665
ESE,MAIL,2015,17.888404255319152
ESE,MAIL,2016,23.84
ESE,PARTNER,2010,59.77754629629632
ESE,PARTNER,2011,49.21036342101192
ESE,PARTNER,2012,58.88146915861967
ESE,PARTNER,2013,65.88881753027039
ESE,PARTNER,2014,63.50451939769253
ESE,PARTNER,2015,72.74969081102476
ESE,PARTNER,2016,79.8330022962545
ESE,REFERRAL,2010,37.752631578947366
ESE,REFERRAL,2011,18.55347222222222
ESE,REFERRAL,2012,39.879999999999995
ESE,REFERRAL,2013,55.935833333333335
ESE,REFERRAL,2014,69.21767857142859
ESE,REFERRAL,2015,49.889516129032266
ESE,REFERRAL,2016,214.94999999999993
ESE,WEB,2010,30.198
ESE,WEB,2011,61.928355457227134
ESE,WEB,2012,63.12906362007169
ESE,WEB,2013,66.05067992781191
ESE,WEB,2014,64.82654888572236
ESE,WEB,2015,86.77807931404092
ESE,WEB,2016,105.33149739423679
SE,AD,2010,69.49333333333334
SE,AD,2011,56.55608695652174
SE,AD,2012,31.573205128205124
SE,AD,2013,108.43794444444445
SE,AD,2014,44.893421052631595
SE,AD,2015,40.40320512820512
SE,AD,2016,80.58636363636364
SE,INSERT,2011,29.823333333333334
SE,INSERT,2012,19.975
SE,INSERT,2013,14.619791666666668
SE,INSERT,2014,36.301944444444445
SE,MAIL,2015,17.782857142857143
SE,MAIL,2016,10.75
SE,PARTNER,2010,39.7306862745098
SE,PARTNER,2011,53.031291666666675
SE,PARTNER,2012,87.50474358974358
SE,PARTNER,2013,134.1628888888889
SE,PARTNER,2014,183.67416666666668
SE,PARTNER,2015,66.66728070175438
SE,PARTNER,2016,79.88458333333334
SE,REFERRAL,2011,14.95
SE,REFERRAL,2013,15.95
SE,REFERRAL,2014,11.95
SE,REFERRAL,2015,17.633333333333336
SE,REFERRAL,2016,49.962500000000006
SE,WEB,2011,53.90555555555555
SE,WEB,2012,33.310937499999994
SE,WEB,2013,47.43234480431847
SE,WEB,2014,50.06102582846003
SE,WEB,2015,70.86271412037037
SE,WEB,2016,52.72159090909091
SSE,AD,2010,40.4313492063492
SSE,AD,2011,48.95861240310077
SSE,AD,2012,83.00649999999999
SSE,AD,2013,96.4773076923077
SSE,AD,2014,103.08614285714286
SSE,AD,2015,51.48216666666669
SSE,AD,2016,52.073888888888895
SSE,BULK,2010,40.0
SSE,BULK,2011,0.0
SSE,BULK,2014,823.0
SSE,EMAIL,2014,99.95
SSE,EMPLOYEE,2015,10.16
SSE,INSERT,2011,66.39176470588234
SSE,INSERT,2013,22.327380952380945
SSE,INSERT,2014,30.125151515151526
SSE,INSERT,2015,41.959999999999994
SSE,MAIL,2014,38.162499999999994
SSE,MAIL,2015,26.189999999999998
SSE,MAIL,2016,13.450000000000001
SSE,PARTNER,2010,69.59483553791885
SSE,PARTNER,2011,44.592172435897446
SSE,PARTNER,2012,56.52609370053815
SSE,PARTNER,2013,81.97862984496125
SSE,PARTNER,2014,82.09110005729562
SSE,PARTNER,2015,74.98090446016306
SSE,PARTNER,2016,113.22965277777777
SSE,REFERRAL,2010,10.0
SSE,REFERRAL,2011,65.2
SSE,REFERRAL,2013,375.0
SSE,REFERRAL,2014,145.4875
SSE,REFERRAL,2015,21.375
SSE,REFERRAL,2016,187.46666666666667
SSE,WEB,2010,48.14666666666667
SSE,WEB,2011,41.484672619047615
SSE,WEB,2012,76.67386489479513
SSE,WEB,2013,65.67358998466807
SSE,WEB,2014,72.05727583162448
SSE,WEB,2015,113.13369485294113
SSE,WEB,2016,129.04286458333328
S,AD,2010,41.96160337552742
S,AD,2011,44.50288888888888
S,AD,2012,75.04256666666667
S,AD,2013,85.7683
S,AD,2014,57.33700421940922
S,AD,2015,55.773039548022574
S,AD,2016,49.15932432432434
S,BULK,2012,0.0
S,CATALOG,2014,85.0
S,CATALOG,2016,49.45
S,CONFERENCE,2013,100.0
S,EMAIL,2014,48.925000000000004
S,EMPLOYEE,2012,167.005
S,EMPLOYEE,2013,127.3
S,EMPLOYEE,2016,24.089999999999996
S,INSERT,2011,80.80568181818182
S,INSERT,2012,29.95
S,INSERT,2013,20.26134751773051
S,INSERT,2014,21.293046874999998
S,INTERNAL,2015,7.6125
S,MAIL,2014,34.726
S,MAIL,2015,35.33
S,MAIL,2016,13.7875
S,PARTNER,2010,72.40277380952378
S,PARTNER,2011,34.898160037878796
S,PARTNER,2012,77.44243595731751
S,PARTNER,2013,97.6880610926541
S,PARTNER,2014,92.19684229619286
S,PARTNER,2015,102.47403904895293
S,PARTNER,2016,139.09032520325204
S,REFERRAL,2010,29.599999999999998
S,REFERRAL,2011,63.535
S,REFERRAL,2012,272.32500000000005
S,REFERRAL,2013,21.708333333333332
S,REFERRAL,2014,71.31875
S,REFERRAL,2015,26.50363636363636
S,REFERRAL,2016,40.541666666666664
S,WEB,2010,37.49
S,WEB,2011,57.42207671957672
S,WEB,2012,91.92370721726189
S,WEB,2013,59.81843781279696
S,WEB,2014,68.27676392496402
S,WEB,2015,66.83606666666664
S,WEB,2016,92.32119047619042
SSW,AD,2010,103.4
SSW,AD,2011,67.2575
SSW,AD,2012,135.225
SSW,AD,2013,133.65
SSW,AD,2014,132.95875
SSW,AD,2015,46.17708333333333
SSW,AD,2016,375.0
SSW,EMPLOYEE,2012,43.166666666666664
SSW,EMPLOYEE,2013,25.46
SSW,EMPLOYEE,2014,25.46
SSW,INSERT,2011,640.285
SSW,INSERT,2013,31.15
SSW,INSERT,2014,31.5
SSW,MAIL,2014,27.98
SSW,MAIL,2015,8.243333333333334
SSW,MAIL,2016,10.75
SSW,PARTNER,2010,27.560000000000002
SSW,PARTNER,2011,50.69166666666666
SSW,PARTNER,2012,189.60833333333335
SSW,PARTNER,2013,18.28333333333333
SSW,PARTNER,2014,91.33624999999999
SSW,PARTNER,2015,19.785
SSW,PARTNER,2016,169.28333333333333
SSW,REFERRAL,2012,39.95
SSW,REFERRAL,2014,65.88333333333334
SSW,REFERRAL,2015,38.7
SSW,WEB,2011,12.89
SSW,WEB,2012,33.46458333333333
SSW,WEB,2013,57.858043478260875
SSW,WEB,2014,192.9315833333333
SSW,WEB,2015,114.00427083333334
SSW,WEB,2016,55.000714285714295
SW,AD,2010,48.401666666666664
SW,AD,2011,56.81949999999999
SW,AD,2012,54.35
SW,AD,2013,25.95
SW,AD,2014,66.65
SW,AD,2015,36.59833333333333
SW,AD,2016,110.39000000000001
SW,EMPLOYEE,2012,43.96
SW,INSERT,2012,39.95
SW,INSERT,2013,17.923333333333332
SW,INSERT,2014,21.0375
SW,MAIL,2010,16.95
SW,MAIL,2014,52.45
SW,MAIL,2015,13.193999999999999
SW,MAIL,2016,13.15
SW,PARTNER,2010,89.79
SW,PARTNER,2011,26.383333333333333
SW,PARTNER,2012,64.03571428571428
SW,PARTNER,2013,121.18300000000002
SW,PARTNER,2014,66.72347222222221
SW,PARTNER,2015,36.73583333333333
SW,PARTNER,2016,30.181666666666665
SW,REFERRAL,2010,195.0
SW,REFERRAL,2011,10.0
SW,REFERRAL,2012,45.0
SW,REFERRAL,2015,35.0
SW,WEB,2010,10.0
SW,WEB,2011,20.733333333333334
SW,WEB,2012,66.33576923076923
SW,WEB,2013,39.955989583333334
SW,WEB,2014,51.800452380952386
SW,WEB,2015,74.42490740740742
SW,WEB,2016,122.13333333333334
WSW,AD,2010,38.485969907407416
WSW,AD,2011,45.8525670498084
WSW,AD,2012,66.99796193829643
WSW,AD,2013,84.87055316863591
WSW,AD,2014,63.02378247863251
WSW,AD,2015,78.79152688172054
WSW,AD,2016,84.5688076923078
WSW,BULK,2010,0.0
WSW,BULK,2011,10.0
WSW,BULK,2012,0.0
WSW,BULK,2013,0.0
WSW,BULK,2015,14.95
WSW,CATALOG,2014,119.59687500000001
WSW,CATALOG,2015,237.35
WSW,EMAIL,2014,39.078
WSW,EMAIL,2015,126.345
WSW,EMAIL,2016,28.424999999999997
WSW,EMPLOYEE,2010,165.75
WSW,EMPLOYEE,2014,126.0
WSW,EMPLOYEE,2015,335.75
WSW,EMPLOYEE,2016,31.875
WSW,INSERT,2011,44.30196009389672
WSW,INSERT,2012,8.916666666666666
WSW,INSERT,2013,16.92671394799055
WSW,INSERT,2014,30.369941002949854
WSW,INSERT,2015,194.3066666666667
WSW,MAIL,2010,104.94
WSW,MAIL,2011,0.0
WSW,MAIL,2014,41.51305555555555
WSW,MAIL,2015,34.24813559322034
WSW,MAIL,2016,13.269999999999998
WSW,PARTNER,2010,69.27192327791808
WSW,PARTNER,2011,54.828785390602434
WSW,PARTNER,2012,60.43153758715931
WSW,PARTNER,2013,134.21559818986623
WSW,PARTNER,2014,70.09410095233338
WSW,PARTNER,2015,75.8666933216062
WSW,PARTNER,2016,135.98474897186148
WSW,REFERRAL,2010,102.56525000000002
WSW,REFERRAL,2011,16.634375
WSW,REFERRAL,2012,40.050000000000004
WSW,REFERRAL,2013,45.565
WSW,REFERRAL,2014,40.30461538461538
WSW,REFERRAL,2015,105.89312499999991
WSW,REFERRAL,2016,53.36904761904763
WSW,WEB,2010,51.479
WSW,WEB,2011,104.71485937499997
WSW,WEB,2012,89.64466482300897
WSW,WEB,2013,78.49337669328243
WSW,WEB,2014,87.85210840458599
WSW,WEB,2015,97.5544263918504
WSW,WEB,2016,123.99434754109987
W,AD,2010,39.04410445094218
W,AD,2011,56.747627094972074
W,AD,2012,76.28920138888893
W,AD,2013,78.90636819172119
W,AD,2014,81.90890975820388
W,AD,2015,60.0920859538784
W,AD,2016,139.17397435897448
W,BULK,2010,0.0
W,BULK,2011,0.0
W,BULK,2012,0.0
W,BULK,2015,29.9
W,CATALOG,2014,86.64541666666666
W,CATALOG,2015,239.50799999999998
W,CATALOG,2016,9.0
W,EMAIL,2014,367.72222222222223
W,EMAIL,2015,0.0
W,EMAIL,2016,34.95
W,EMPLOYEE,2012,22.896666666666665
W,EMPLOYEE,2014,42.0
W,EMPLOYEE,2016,187.79
W,INSERT,2011,42.10246621621621
W,INSERT,2012,18.2675
W,INSERT,2013,18.461344086021516
W,INSERT,2014,23.30898637820513
W,INSERT,2015,25.96
W,MAIL,2010,49.071666666666665
W,MAIL,2011,42.9
W,MAIL,2014,19.324
W,MAIL,2015,34.33116666666666
W,MAIL,2016,13.355357142857141
W,PARTNER,2010,70.88305265721932
W,PARTNER,2011,51.34280833293694
W,PARTNER,2012,66.40398639495807
W,PARTNER,2013,98.03754547134484
W,PARTNER,2014,66.48858290582682
W,PARTNER,2015,78.91679149041812
W,PARTNER,2016,128.8788131965552
W,REFERRAL,2010,30.773571428571426
W,REFERRAL,2011,19.027692307692305
W,REFERRAL,2012,23.775000000000002
W,REFERRAL,2013,55.72500000000001
W,REFERRAL,2014,92.80733333333333
W,REFERRAL,2015,48.83260000000001
W,REFERRAL,2016,54.70526315789474
W,WEB,2010,27.02444444444444
W,WEB,2011,85.09205274550011
W,WEB,2012,80.85930566781708
W,WEB,2013,67.9258691803743
W,WEB,2014,72.97500132048684
W,WEB,2015,81.27471749381583
W,WEB,2016,118.66791898834241
WNW,AD,2010,33.65626126126124
WNW,AD,2011,38.37319217687073
WNW,AD,2012,61.53873873873873
WNW,AD,2013,96.77699999999996
WNW,AD,2014,70.30862576804914
WNW,AD,2015,82.84167499999995
WNW,AD,2016,63.7345444444444
WNW,BULK,2010,0.0
WNW,BULK,2011,0.0
WNW,BULK,2014,25.95
WNW,BULK,2015,16.25
WNW,CATALOG,2014,107.975
WNW,CATALOG,2015,23.35
WNW,EMAIL,2014,77.05
WNW,EMAIL,2015,25.95
WNW,EMPLOYEE,2010,165.75
WNW,EMPLOYEE,2014,50.92
WNW,EMPLOYEE,2015,23.72
WNW,INSERT,2011,42.78426470588236
WNW,INSERT,2013,19.5098765432099
WNW,INSERT,2014,20.005486891385775
WNW,MAIL,2014,87.12
WNW,MAIL,2015,23.369743589743596
WNW,MAIL,2016,12.920588235294117
WNW,PARTNER,2010,69.3736076287658
WNW,PARTNER,2011,43.10009320855002
WNW,PARTNER,2012,52.68056526806525
WNW,PARTNER,2013,95.9681679456907
WNW,PARTNER,2014,62.4120220156506
WNW,PARTNER,2015,81.29859675661507
WNW,PARTNER,2016,76.55778104575161
WNW,REFERRAL,2010,38.24384615384616
WNW,REFERRAL,2011,30.573749999999997
WNW,REFERRAL,2012,24.975
WNW,REFERRAL,2013,20.6125
WNW,REFERRAL,2014,61.93066666666667
WNW,REFERRAL,2015,83.87083333333335
WNW,REFERRAL,2016,40.575
WNW,WEB,2010,63.330000000000005
WNW,WEB,2011,65.20253048780489
WNW,WEB,2012,95.05883795309171
WNW,WEB,2013,60.686567026924585
WNW,WEB,2014,61.85936879968078
WNW,WEB,2015,70.57597153931347
WNW,WEB,2016,92.15150318471356
NW,AD,2010,77.75642857142859
NW,AD,2011,27.265555555555554
NW,AD,2012,24.8
NW,AD,2013,123.902
NW,AD,2014,24.45
NW,AD,2015,30.633333333333336
NW,AD,2016,512.3000000000001
NW,CATALOG,2014,26.95
NW,EMAIL,2016,35.0
NW,INSERT,2011,31.78
NW,INSERT,2013,34.95
NW,INSERT,2014,27.0
NW,MAIL,2014,22.45
NW,PARTNER,2011,31.45
NW,PARTNER,2012,13.45
NW,PARTNER,2013,40.0375
NW,PARTNER,2014,11.2
NW,PARTNER,2015,24.462000000000003
NW,PARTNER,2016,111.58000000000001
NW,REFERRAL,2010,38.24
NW,REFERRAL,2012,34.95
NW,REFERRAL,2014,340.0
NW,REFERRAL,2015,23.9
NW,WEB,2010,40.0
NW,WEB,2011,20.02
NW,WEB,2012,52.669259259259256
NW,WEB,2013,32.29859649122807
NW,WEB,2014,27.213910256410255
NW,WEB,2015,70.88390000000001
NW,WEB,2016,87.51780000000001
NNW,AD,2010,40.625833333333325
NNW,AD,2011,44.91416666666667
NNW,AD,2012,50.62666666666666
NNW,AD,2013,52.051
NNW,AD,2014,57.151025641025655
NNW,AD,2015,210.782
NNW,AD,2016,15.080000000000002
NNW,BULK,2010,20.0
NNW,CATALOG,2015,23.35
NNW,INSERT,2011,17.0
NNW,INSERT,2013,24.74285714285714
NNW,INSERT,2014,17.990000000000002
NNW,MAIL,2014,7.95
NNW,MAIL,2015,8.870000000000001
NNW,MAIL,2016,16.150000000000002
NNW,PARTNER,2010,44.103809523809524
NNW,PARTNER,2011,23.300000000000004
NNW,PARTNER,2012,16.81111111111111
NNW,PARTNER,2013,39.32192307692307
NNW,PARTNER,2014,52.72473684210527
NNW,PARTNER,2015,26.98760606060606
NNW,PARTNER,2016,83.0942857142857
NNW,REFERRAL,2010,19.12
NNW,REFERRAL,2011,105.0
NNW,REFERRAL,2014,17.95
NNW,REFERRAL,2015,46.92
NNW,WEB,2011,53.864
NNW,WEB,2012,144.51305555555555
NNW,WEB,2013,28.815786324786323
NNW,WEB,2014,70.69519503546097
NNW,WEB,2015,79.21533333333332
NNW,WEB,2016,64.44411764705882
